Quantity,References,Value,Footprint,Manufacturer,MPN,LCSC/Supplier PN,Assembly
4,"C39,C40,C41,C42",1u,Board2_Recovered:C_0402_1005Metric,,,,FIT
5,"C20120,C20121,C20220,C20221,C26",1u,Board2_Recovered:C_0603_1608Metric,,,,FIT
4,"C49,C50,C51,C52",1u C0G,Board2_Recovered:C_0402_1005Metric,,,,FIT
1,C274,1uF,Board2_Recovered:C_0603_1608Metric,,,,FIT
4,"C261,C262,C266,C267",1uF 10V,Board2_Recovered:C_0603_1608Metric,,,,FIT
2,"R2010,R2020",2.00k 1%,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R27,2.2k CHG SCL,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R28,2.2k CHG SDA,Board2_Recovered:R_0402_1005Metric,,,,FIT
6,"R290,R291,R292,R293,R5,R6",2.2k I2C,Board2_Recovered:R_0402_1005Metric,,,,FIT
4,"C20122,C20123,C20222,C20223",2.2u,Board2_Recovered:C_0603_1608Metric,,,,FIT
2,"C260,C265",2.2uF,Board2_Recovered:C_0603_1608Metric,,,,FIT
1,C271,2.2uF 10V,Board2_Recovered:C_0603_1608Metric,,,,FIT
4,"L203,L204,L205,L206",2.2uH,Board2_Recovered:L_Abracon_ASPI-4030S,,,,FIT
2,"R13,R14",200k,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R2041,200k 1%,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R283,20k 1% OVP,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R1,220k,Board2_Recovered:R_0402_1005Metric,,,,FIT
2,"C59,C60",22u 25V,Board2_Recovered:C_0603_1608Metric,,,,FIT
1,Y1,24MHz,Board2_Recovered:Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,FIT
1,R9,30.1k TS,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R2,30k,Board2_Recovered:R_0402_1005Metric,,,,FIT
2,"R74,R75",330R,Board2_Recovered:R_0402_1005Metric,,,,FIT
2,"C7,C8",330p,Board2_Recovered:C_0603_1608Metric,,,,FIT
1,R280,37.4k 1% ISET=33.2mA,Board2_Recovered:R_0402_1005Metric,,,,FIT
